ID,Ejercicio,Ramo,Siniestro,Fecha de ocurrencia,Fecha de derivacion,Suma asegurada,Ajuste,Accesorios,Tope de suma asegurada,Agencia,Marca de la unidad,Modelo de la unidad,Modelo / Año,Indemnizacion,MT indem - MT aseg,Fecha de pago
3866,99,4,79949,9/7/2021,9/15/2021 12:00:00 a. m.,544000,20,0,652800,BUENOS AIRES,FORD,FORD KA 1.6 FLY VIRAL L/11,2012,"652.800,00",108800,11/10/2021 12:00:00 a. m.
3867,99,4,79972,9/9/2021,12/9/2021 12:00:00 a. m.,636900,20,0,764280,MARTINEZ,FIAT,FIAT SIENA 1.4 FIRE AA,2011,"760.000,00",123100,12/9/2021 12:00:00 a. m.
3868,99,4,80018,9/10/2021,9/15/2021 12:00:00 a. m.,1050500,20,75000,1350600,MARTINEZ,RENAULT,RENAULT KANGOO 2 1.6 AUTHEN. 1 PLC,2013,"1.268.000,00",217500,10/4/2021 12:00:00 a. m.
3869,99,4,80076,9/10/2021,9/17/2021 12:00:00 a. m.,618200,20,0,741840,MORON,FIAT,FIAT PALIO WE 1.4 ELX L/09,2008,"710.000,00",91800,9/30/2021 12:00:00 a. m.
3870,99,4,80287,9/12/2021,10/21/2021 12:00:00 a. m.,950400,10,20000,1067440,MARTINEZ,FIAT,FIAT PALIO 1.6 5 P ESSENCE L/14,2015,"1.065.000,00",114600,11/19/2021 12:00:00 a. m.
3871,99,4,80419,9/14/2021,9/21/2021 12:00:00 a. m.,465300,20,0,558360,MENDOZA,FIAT,FIAT SIENA S 1.6,2000,"558.360,00",93060,11/10/2021 12:00:00 a. m.
3872,99,4,80484,9/14/2021,9/15/2021 12:00:00 a. m.,845900,20,0,1015080,MARTINEZ,VOLKSWAGEN,VW BORA 2.0 TRENDLINE,2005,"860.000,00",14100,10/18/2021 12:00:00 a. m.
3873,99,4,80485,9/12/2021,11/5/2021 12:00:00 a. m.,550000,20,0,660000,MARTINEZ,FIAT,FIAT FIORINO FURGON 1.7 TD FIRE,2004,"600.000,00",50000,10/21/2021 12:00:00 a. m.
3874,99,4,80571,9/6/2021,9/15/2021 12:00:00 a. m.,1028500,20,0,1234200,AVELLANEDA,CITROEN,CITROEN C 3 1.5 I TENDANCE PACK SECURE,2015,"1.234.200,00",205700,9/23/2021 12:00:00 a. m.
3875,99,4,80579,9/6/2021,9/15/2021 12:00:00 a. m.,700000,20,700000,1680000,AVELLANEDA,CASA RODANTE,CASA RODANTE,1992,"1.680.000,00",980000,12/3/2021 12:00:00 a. m.
3876,99,4,80705,9/15/2021,9/16/2021 12:00:00 a. m.,2700000,20,0,3240000,MARTINEZ,VOLKSWAGEN,VW AMAROK 2.0 TD 4X4 DC STARLINE 140 HP,2015,"3.240.000,00",540000,10/7/2021 12:00:00 a. m.
